Age,Attrition,BusinessTravel,DistanceFromHome,Education,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance
Senior,Yes,Rarely,Short,College,Rappresentative,Very_high,Single,On_average,Yes,Excellent,Competent,Bad
Senior,No,Frequently,Short,Below_college,Rappresentative,Medium,Married,On_average,No,Outstanding,Competent,Better
Middle-age,Yes,Rarely,Short,College,Technician,High,Single,Lower,Yes,Excellent,Competent,Better
Middle-age,No,Frequently,Short,Master,Technician,High,Married,Lower,Yes,Excellent,Competent,Better
Young,No,Rarely,Short,Below_college,Technician,Medium,Married,Lower,No,Excellent,Beginner,Better
Middle-age,No,Frequently,Short,College,Technician,Very_high,Single,Lower,No,Excellent,Competent,Good
Senior,No,Rarely,Short,Bachelor,Technician,Low,Married,Lower,Yes,Outstanding,Competent,Good
Middle-age,No,Rarely,Long,Below_college,Technician,High,Divorced,Lower,No,Outstanding,Novice,Better
Middle-age,No,Frequently,Long,Bachelor,Director,High,Single,Higher,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Long,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Proficient,Good
Middle-age,No,Rarely,Medium,Bachelor,Technician,Medium,Married,Lower,No,Excellent,Beginner,Better
Young,No,Rarely,Medium,College,Rappresentative,High,Single,On_average,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Long,Below_college,Technician,High,Divorced,Lower,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Medium,College,Technician,Very_high,Divorced,Lower,No,Excellent,Beginner,Better
Young,Yes,Rarely,Long,Bachelor,Technician,High,Single,Lower,Yes,Excellent,Beginner,Better
Young,No,Rarely,Long,Master,Director,Low,Divorced,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Technician,Medium,Divorced,Lower,Yes,Excellent,Competent,Good
Young,No,Non-Travel,Medium,College,Technician,Very_high,Divorced,Lower,Yes,Excellent,Novice,Good
Senior,No,Rarely,Short,Master,Manager,Very_high,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Very_high,Single,On_average,Yes,Excellent,Beginner,Better
Young,No,Non-Travel,Medium,College,Rappresentative,High,Divorced,On_average,No,Excellent,Beginner,Good
Middle-age,Yes,Rarely,Short,Master,Technician,Low,Single,Lower,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,Master,Director,Medium,Single,Higher,No,Excellent,Competent,Better
Young,No,Rarely,Medium,College,Technician,Very_high,Single,Lower,No,Excellent,Novice,Better
Middle-age,Yes,Rarely,Short,Below_college,Technician,Low,Single,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Manager,High,Divorced,Higher,No,Excellent,Expert,Good
Middle-age,Yes,Frequently,Medium,Below_college,Technician,Low,Single,On_average,Yes,Outstanding,Competent,Better
Senior,No,Rarely,Short,Master,Rappresentative,Medium,Married,Higher,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Director,Very_high,Married,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Master,Manager,Low,Single,Higher,No,Excellent,Expert,Good
Middle-age,No,Rarely,Short,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Medium,Master,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Competent,Best
Middle-age,No,Rarely,Short,College,Technician,High,Single,Lower,No,Excellent,Competent,Better
Middle-age,Yes,Rarely,Short,Bachelor,Rappresentative,Very_high,Married,Lower,No,Excellent,Proficient,Best
Young,Yes,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,Yes,Excellent,Beginner,Good
Senior,No,Rarely,Short,College,Technician,High,Divorced,Lower,No,Excellent,Beginner,Good
Senior,Yes,Rarely,Short,College,Technician,High,Married,Lower,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Novice,Better
Middle-age,No,Rarely,Short,Master,Technician,Low,Married,Lower,Yes,Excellent,Beginner,Best
